value	description	codesystem	code	iri
Sternoclavicular joint	Sternoclavicular joint	SNOMED_CT	7844006	http://snomed.info/id/7844006
Sternum	Sternum	SNOMED_CT	56873002	http://snomed.info/id/56873002
Stomach	Stomach	SNOMED_CT	69695003	http://snomed.info/id/69695003
Subclavian artery	Subclavian artery	SNOMED_CT	36765005	http://snomed.info/id/36765005
Subclavian vein	Subclavian vein	SNOMED_CT	9454009	http://snomed.info/id/9454009
Subcostal	Subcostal	SNOMED_CT	19695001	http://snomed.info/id/19695001
Submandibular area	Submandibular area	SNOMED_CT	5713008	http://snomed.info/id/5713008
Submandibular gland	Submandibular gland	SNOMED_CT	54019009	http://snomed.info/id/54019009
Submental	Submental	SNOMED_CT	170887008	http://snomed.info/id/170887008
Subxiphoid	Subxiphoid	SNOMED_CT	5076001	http://snomed.info/id/5076001
Superficial femoral artery	Superficial femoral artery	SNOMED_CT	181349008	http://snomed.info/id/181349008
Superficial femoral vein	Superficial femoral vein	SNOMED_CT	397364003	http://snomed.info/id/397364003
Superficial temporal artery	Superficial temporal artery	SNOMED_CT	15672000	http://snomed.info/id/15672000
Superior left pulmonary vein	Superior left pulmonary vein	SNOMED_CT	43863001	http://snomed.info/id/43863001
Superior mesenteric artery	Superior mesenteric artery	SNOMED_CT	42258001	http://snomed.info/id/42258001
Superior right pulmonary vein	Superior right pulmonary vein	SNOMED_CT	8629005	http://snomed.info/id/8629005
Superior thyroid artery	Superior thyroid artery	SNOMED_CT	72021004	http://snomed.info/id/72021004
Superior vena cava	Superior vena cava	SNOMED_CT	48345005	http://snomed.info/id/48345005
Supraclavicular region of neck	Supraclavicular region of neck	SNOMED_CT	77621008	http://snomed.info/id/77621008
Suprapubic region	Suprapubic region	SNOMED_CT	11708003	http://snomed.info/id/11708003
Suprasternal notch	Suprasternal notch	SNOMED_CT	26493002	http://snomed.info/id/26493002
Systemic collateral artery to lung	Systemic collateral artery to lung	SNOMED_CT	128589000	http://snomed.info/id/128589000
Systemic venous atrium	Systemic venous atrium	SNOMED_CT	128568009	http://snomed.info/id/128568009
Tarsal joint	Tarsal joint	SNOMED_CT	27949001	http://snomed.info/id/27949001
Temporomandibular joint	Temporomandibular joint	SNOMED_CT	53620006	http://snomed.info/id/53620006
Testis	Testis	SNOMED_CT	40689003	http://snomed.info/id/40689003
Thalamus	Thalamus	SNOMED_CT	42695009	http://snomed.info/id/42695009
Thigh	Thigh	SNOMED_CT	68367000	http://snomed.info/id/68367000
Third ventricle	Third ventricle	SNOMED_CT	49841001	http://snomed.info/id/49841001
Thoracic aorta	Thoracic aorta	SNOMED_CT	113262008	http://snomed.info/id/113262008
Thoracic spine	Thoracic spine	SNOMED_CT	122495006	http://snomed.info/id/122495006
Thoraco-lumbar spine	Thoraco-lumbar spine	SNOMED_CT	1217256009	http://snomed.info/id/1217256009
Thorax	Thorax	SNOMED_CT	43799004	http://snomed.info/id/43799004
Thumb	Thumb	SNOMED_CT	76505004	http://snomed.info/id/76505004
Thymus	Thymus	SNOMED_CT	9875009	http://snomed.info/id/9875009
Thyroid	Thyroid	SNOMED_CT	69748006	http://snomed.info/id/69748006
Tibia	Tibia	SNOMED_CT	12611008	http://snomed.info/id/12611008
Tibia and fibula	Tibia and fibula	SNOMED_CT	110536004	http://snomed.info/id/110536004
Toe	Toe	SNOMED_CT	29707007	http://snomed.info/id/29707007
Tongue	Tongue	SNOMED_CT	21974007	http://snomed.info/id/21974007
Trachea	Trachea	SNOMED_CT	44567001	http://snomed.info/id/44567001
Trachea and bronchus	Trachea and bronchus	SNOMED_CT	110726009	http://snomed.info/id/110726009
Transverse colon	Transverse colon	SNOMED_CT	485005	http://snomed.info/id/485005
Truncus arteriosus communis	Truncus arteriosus communis	SNOMED_CT	61959006	http://snomed.info/id/61959006
Truncus coeliacus	Truncus coeliacus	SNOMED_CT	57850000	http://snomed.info/id/57850000
Ulna	Ulna	SNOMED_CT	23416004	http://snomed.info/id/23416004
Ulnar artery	Ulnar artery	SNOMED_CT	44984001	http://snomed.info/id/44984001
Umbilical artery	Umbilical artery	SNOMED_CT	50536004	http://snomed.info/id/50536004
Umbilical region	Umbilical region	SNOMED_CT	90290004	http://snomed.info/id/90290004
Umbilical vein	Umbilical vein	SNOMED_CT	284639000	http://snomed.info/id/284639000
Upper arm	Upper arm	SNOMED_CT	40983000	http://snomed.info/id/40983000
Upper inner quadrant of breast	Upper inner quadrant of breast	SNOMED_CT	77831004	http://snomed.info/id/77831004
Upper limb	Upper limb	SNOMED_CT	53120007	http://snomed.info/id/53120007
Upper outer quadrant of breast	Upper outer quadrant of breast	SNOMED_CT	76365002	http://snomed.info/id/76365002
Upper urinary tract	Upper urinary tract	SNOMED_CT	431491007	http://snomed.info/id/431491007
Ureter	Ureter	SNOMED_CT	87953007	http://snomed.info/id/87953007
Urethra	Urethra	SNOMED_CT	13648007	http://snomed.info/id/13648007
Uterus	Uterus	SNOMED_CT	35039007	http://snomed.info/id/35039007
Uterus and fallopian tubes	Uterus and fallopian tubes	SNOMED_CT	110639002	http://snomed.info/id/110639002
Vagina	Vagina	SNOMED_CT	76784001	http://snomed.info/id/76784001
Vascular graft	Vascular graft	SNOMED_CT	118375008	http://snomed.info/id/118375008
Vein	Vein	SNOMED_CT	29092000	http://snomed.info/id/29092000
Venous network	Venous network	SNOMED_CT	34340008	http://snomed.info/id/34340008
Ventricle	Ventricle	SNOMED_CT	21814001	http://snomed.info/id/21814001
Vertebral artery	Vertebral artery	SNOMED_CT	85234005	http://snomed.info/id/85234005
Vertebral column and cranium	Vertebral column and cranium	SNOMED_CT	110517009	http://snomed.info/id/110517009
Vulva	Vulva	SNOMED_CT	45292006	http://snomed.info/id/45292006
Wrist joint	Wrist joint	SNOMED_CT	74670003	http://snomed.info/id/74670003
Zygoma	Zygoma	SNOMED_CT	13881006	http://snomed.info/id/13881006
